galaxy,type_code,R_last,Rd_kpc,compactness,Mbar_Msun,outer_points,outer_avg_vobs,outer_max_vobs,overall_avg_vobs,rmse_outer,bias_outer,under_pct_outer,outer_points_scored,mean_pct_close,median_pct_close
CamB,10,1.79,,,,4,16.125,20.1,10.876666666666665,2.8392512450641596,2.537716098253815,0.0,4.0,82.72160111437063,86.35473680766621
D631-7,10,7.19,,,,6,57.21666666666667,58.5,43.038125,25.691587916937905,-25.523828019264844,100.0,6.0,55.46836892141173,54.09021018176018
DDO064,10,2.98,,,,5,46.46,46.9,32.535,6.8446609913538,-6.7552845889572755,100.0,5.0,85.45474890155212,86.6240428473841
DDO154,10,5.92,,,,5,46.959999999999994,48.2,38.18333333333333,20.453853419871727,-20.402187187623774,100.0,5.0,56.560274412642855,55.254389534662586
DDO161,10,13.37,,,,11,65.71818181818182,67.5,49.25483870967741,15.461457215699618,-14.870773806102312,100.0,11.0,77.47549561309702,77.3729275427928
DDO168,10,4.12,,,,4,53.675,55.0,41.46,12.353058435207663,-12.306141344630685,100.0,4.0,77.10636132559131,77.15278444193315
DDO170,10,12.33,,,,3,60.4,62.2,52.25,15.658226051666956,-15.270335207988898,100.0,3.0,74.83139678542237,75.79808579464965
ESO079-G014,4,16.67,,,,6,169.5,178.0,119.38666666666667,22.393249539099397,21.3521398054165,0.0,6.0,87.38296514817425,87.29429703734274
ESO116-G012,7,9.86,,,,6,109.83333333333333,112.0,86.74666666666667,20.650512740224446,-20.066345211257026,100.0,6.0,81.77478728927397,81.92327921916993
ESO563-G021,4,42.41,,,,11,314.8181818181818,321.0,263.31,36.882288187797144,16.12165258737583,45.45454545454545,11.0,90.22244003838831,91.98719280768302
F563-1,9,20.1,,,,6,109.91666666666667,112.5,88.95294117647059,50.588939744614706,-50.467356553338526,100.0,6.0,54.13440976508713,53.52734813627624
F563-V2,10,10.47,,,,4,117.25,118.0,86.15,37.291685519094735,-37.26687378797329,100.0,4.0,68.2162002154818,67.69595454588118
F568-1,5,13.23,,,,5,131.2,142.0,100.88333333333333,42.158252010533296,-42.13926493380328,100.0,5.0,67.78452483369264,68.2858178266879
F568-3,7,17.98,,,,7,103.88571428571429,120.0,74.81666666666666,18.06616331213588,-16.630614791729812,100.0,7.0,84.42752933166734,85.49561102614074
F568-V1,7,17.63,,,,6,113.0,118.0,94.81333333333333,39.805356825098706,-39.630754399625545,100.0,6.0,64.9701288935445,65.48590356854285
F571-8,5,15.55,,,,5,131.8,144.0,94.16153846153846,37.697624206823,-29.75732018917963,80.0,5.0,77.50912616684136,74.87476902921799
F574-1,7,12.6,,,,5,98.41999999999999,99.7,80.74285714285715,17.046223553592917,-16.940633279757137,100.0,5.0,82.76096166661286,82.87702282515387
F579-V1,5,15.16,,,,5,113.4,114.0,100.55714285714285,4.753755383995088,-3.28846954566653,100.0,5.0,97.10845697651816,98.19684639599336
F583-1,9,16.26,,,,9,78.24444444444444,86.9,53.263999999999996,28.457621948279996,-28.324789903596105,100.0,9.0,63.42227630992368,61.18210546835024
F583-4,5,7.29,,,,5,65.16,69.9,51.23333333333334,6.8229829564598505,-6.124006833669931,100.0,5.0,90.78178966264323,90.94344443813746
IC2574,9,10.23,,,,12,60.925000000000004,67.5,43.47647058823529,11.5282271657328,-10.994957624348459,100.0,12.0,82.28225918761117,81.81630123993564
IC4202,4,25.9,,,,11,243.1818181818182,249.0,219.71875,69.36598298651293,67.32019204318046,0.0,,,
KK98-251,10,3.13,,,,6,32.050000000000004,34.6,21.583333333333332,2.597425237514415,-2.500849528432339,100.0,6.0,92.03395001170789,92.77423812865598
NGC0024,5,11.27,,,,10,106.3,110.0,84.65862068965517,21.448785260189876,-13.801219784038514,90.0,10.0,87.19241566365021,97.68772354779271
NGC0055,9,13.5,,,,8,86.1375,87.4,72.25238095238095,2.2588521603989387,-1.9576389030753134,100.0,8.0,97.73418160322038,97.90995046426188
NGC0100,6,9.62,,,,8,86.5,91.2,67.34333333333333,18.03943562008069,-16.805088467313727,100.0,8.0,80.85930977658433,79.56473952938669
NGC0247,7,14.54,,,,9,104.88888888888889,108.0,85.17307692307692,12.885361686388604,-12.097504470516071,100.0,9.0,88.53439221498115,89.93150319893337
NGC0289,4,71.12,,,,10,170.1,182.0,173.03571428571428,29.343342829035098,-28.751506376528237,100.0,10.0,83.01712956694982,83.9010947628883
NGC0300,7,11.8,,,,9,93.30000000000001,97.0,80.664,27.015345567284623,-26.366561574608653,100.0,9.0,71.83620070824124,69.67697271867462
NGC0801,5,59.82,,,,5,217.4,222.0,207.46153846153845,74.27868934013665,68.99892776764854,0.0,,,
NGC0891,3,17.11,,,,7,216.14285714285714,224.0,219.44444444444446,105.61608607438056,104.55279741863447,0.0,,,
NGC1003,6,30.24,,,,13,110.23076923076923,115.0,99.03055555555555,44.40892714427677,-44.186361513221,100.0,13.0,59.96482756167757,58.86665486573398
NGC1090,4,30.09,,,,9,163.22222222222223,165.0,149.9958333333333,25.24117274420008,23.58137845925681,0.0,9.0,85.60193216831645,86.44120567016988
NGC1705,11,6.0,,,,5,71.52000000000001,71.8,69.64999999999999,34.73266971044142,-34.69619525008642,100.0,5.0,51.48911139088866,51.21444199493978
NGC2366,10,6.06,,,,9,50.58888888888888,53.7,40.492692307692316,6.936587973528945,-6.794442914360348,100.0,9.0,86.63505659463503,86.70516673616426
NGC2403,6,20.87,,,,25,132.4,136.0,107.99726027397259,30.958395505840326,-28.02795812710122,100.0,25.0,79.01820355794484,77.76960783558134
NGC2683,3,34.62,,,,4,154.0,160.0,177.63636363636363,17.672437799234824,9.315032896351681,25.0,4.0,93.0819246128628,98.06640563194298
NGC2841,3,63.64,,,,17,282.5882352941176,294.0,301.42,67.63656971332571,-63.63759489187892,100.0,,,
NGC2903,4,24.96,,,,12,183.91666666666666,190.0,182.7058823529412,26.680545929806307,21.811399153694566,8.333333333333332,12.0,88.28130126567667,90.26960292016516
NGC2915,11,10.04,,,,11,82.43636363636364,86.5,74.11666666666669,44.36264469605149,-44.26699550371484,100.0,11.0,46.35986072167121,46.40620517489372
NGC2955,3,35.43,,,,9,261.6666666666667,276.0,252.125,117.45904188865374,115.12038320758668,0.0,,,
NGC2976,5,2.27,,,,10,78.15,88.7,51.159259259259265,19.7838883364807,15.103018049738045,0.0,10.0,81.86663425588587,87.18912333376363
NGC2998,5,42.28,,,,5,211.2,214.0,187.07692307692307,32.50059198778822,27.78292988553062,0.0,5.0,86.93358317133783,87.71905275228728
NGC3109,9,6.45,,,,9,63.477777777777774,67.3,45.764,30.050908118580622,-29.94923854706439,100.0,9.0,52.89310213215549,52.85261213834895
NGC3198,5,44.08,,,,15,149.8,154.0,125.67209302325581,22.099295325903046,-16.892511565099344,86.66666666666667,15.0,87.08993823370169,88.35325862583967
NGC3521,4,17.74,,,,14,211.35714285714286,218.0,207.4390243902439,129.5604085345758,119.06535156915932,0.0,,,
NGC3726,5,32.52,,,,5,161.6,169.0,151.83333333333334,40.971594347693205,20.963797568978805,40.0,5.0,81.54933761381514,93.27090680751068
NGC3741,10,7.0,,,,8,48.0625,51.6,36.180952380952384,27.387694622461545,-27.252405540425986,100.0,8.0,43.4324453340589,43.34420728760427
NGC3769,3,37.16,,,,5,117.8,122.0,115.875,25.22392298950639,-19.430007602892978,80.0,5.0,81.199114821916,73.26854338548168
NGC3877,5,11.35,,,,5,170.0,171.0,144.06923076923078,120.33235761458518,120.20958372932209,0.0,,,
NGC3893,5,19.05,,,,4,177.25,187.0,178.6,26.805601113361043,25.60170289324676,0.0,4.0,85.69325788676872,86.7886603363682
NGC3917,6,14.86,,,,6,137.0,138.0,114.8529411764706,15.671233160217287,13.116095026818664,16.666666666666664,6.0,90.3731595237963,89.64782786156465
NGC3953,4,15.68,,,,3,220.66666666666666,224.0,213.625,121.08990859890073,120.66109910941934,0.0,,,
NGC3972,4,8.72,,,,4,130.25,134.0,105.1,23.47172245490807,20.808058017262866,0.0,4.0,83.72349623669064,84.99839702584512
NGC3992,4,46.02,,,,4,241.0,244.0,253.66666666666666,22.23301434254112,13.313606743166247,25.0,4.0,93.0025149788614,94.89664220300072
NGC4010,7,10.47,,,,5,125.8,129.0,98.8,22.2326936369669,22.138275700795113,0.0,5.0,82.42502504738307,81.76247078106425
NGC4013,3,31.01,,,,13,175.53846153846155,180.0,178.41666666666666,11.420444393937126,-2.8603782062943335,61.53846153846154,13.0,94.00256523734448,93.42093774551635
NGC4088,4,21.48,,,,5,169.8,174.0,162.15833333333333,98.85158716683846,95.72501434612703,0.0,,,
NGC4100,4,22.76,,,,9,167.44444444444446,178.0,175.29166666666666,18.869168274715843,17.69420653784561,0.0,9.0,89.4896853504379,90.35775029960207
NGC4157,3,29.61,,,,6,184.83333333333334,186.0,180.78823529411764,31.815011722277294,28.44084645512599,0.0,6.0,84.59458740685334,85.66817673971468
NGC4183,6,21.02,,,,8,110.25,113.0,101.89999999999999,14.635042229895623,-12.864551252218254,100.0,8.0,88.40738516434988,88.60136436859938
NGC4214,10,5.63,,,,5,80.42,80.6,75.22142857142856,28.380062652215823,-28.202971206105907,100.0,5.0,64.93634133512903,64.38841971174597
NGC4217,3,16.72,,,,7,181.28571428571428,189.0,168.6157894736842,65.73964639669991,64.65011314930733,0.0,7.0,64.45929561129581,63.275088936574754
NGC4559,6,20.97,,,,11,122.0,124.0,110.490625,5.546068016197668,5.078373398829581,0.0,11.0,95.85594130780676,95.97397679421884
NGC5005,4,11.47,,,,7,264.2857142857143,265.0,252.27777777777777,169.3077527604709,168.30208202208516,0.0,,,
NGC5033,5,44.59,,,,8,198.625,217.0,211.54545454545453,15.940764422315837,-12.793385195040415,100.0,8.0,93.47273846128115,95.50693661723663
NGC5055,4,54.59,,,,10,179.0,184.0,187.25,24.059284455404814,17.81093442724913,10.0,10.0,90.01323386991909,92.22615460690548
NGC5371,4,46.24,,,,7,211.85714285714286,226.0,221.3684210526316,111.00707804567686,107.0145965651445,0.0,,,
NGC5585,7,10.96,,,,9,89.48888888888888,92.3,62.1875,14.9307675613492,-13.127870237264686,88.88888888888889,9.0,84.90963640221725,82.31119089093899
NGC5907,5,50.33,,,,7,214.71428571428572,217.0,221.57894736842104,16.78389151737733,8.12228213080182,42.857142857142854,7.0,93.919523379445,96.02994745238696
NGC5985,3,34.72,,,,12,291.5833333333333,297.0,285.45454545454544,17.502314211012113,12.672116167965072,16.666666666666664,12.0,94.8568780729629,95.64870458084022
NGC6015,6,29.23,,,,15,158.0,166.0,143.21818181818182,26.015283354942618,-24.943243951226503,100.0,15.0,84.1358123597301,84.43427071074653
NGC6195,3,36.43,,,,8,252.0,258.0,243.08695652173913,144.3901419617493,139.95630014578495,0.0,,,
NGC6503,6,23.5,,,,11,115.27272727272727,118.0,114.29032258064517,28.10219190530329,-27.562603745737785,100.0,11.0,76.1038044064815,75.82582080304162
NGC6674,3,72.41,,,,6,240.5,246.0,249.93333333333334,43.817468738160976,-39.938874591682676,100.0,6.0,83.48918274034563,81.90119922844997
NGC6946,6,20.4,,,,20,161.45,175.0,163.29310344827587,48.017664780704095,46.897718294330545,0.0,20.0,71.09051255232347,69.54772087486556
NGC7331,3,36.31,,,,13,238.07692307692307,241.0,241.86111111111111,66.88415708406886,62.9206525114994,0.0,13.0,73.55127069910574,75.94496926252926
NGC7793,7,7.87,,,,16,106.30625,116.0,74.45652173913044,27.890290089637425,25.906911133006595,0.0,16.0,75.4820306116519,80.8443815613458
NGC7814,2,19.53,,,,7,214.0,214.0,224.61111111111111,15.01564107360819,-0.00018109621776878676,57.14285714285714,7.0,93.97313147237108,93.371359072662
UGC00128,8,53.75,,,,8,129.375,134.0,118.42727272727274,52.46443556033527,-52.03045897944952,100.0,8.0,59.82806609793949,58.274256615187255
UGC00191,9,9.98,,,,4,78.19999999999999,83.85,58.977777777777774,11.391759959905395,-10.822037894372038,100.0,4.0,86.19949130507266,86.45599128766536
UGC00731,10,10.91,,,,5,73.32000000000001,74.0,61.783333333333324,19.792051439801586,-19.721321429140367,100.0,5.0,73.07040609829396,73.75766359315476
UGC01230,9,36.54,,,,4,106.0,113.0,91.88181818181819,23.73878690307117,-23.326407225993073,100.0,4.0,77.94956385534157,78.41036196171612
UGC01281,8,4.99,,,,9,52.84444444444444,56.9,34.4312,15.076283787749531,-14.86245874947415,100.0,9.0,72.07355093800793,71.06138231917929
UGC02259,8,8.14,,,,3,88.10000000000001,90.0,79.8375,24.068533997706286,-23.820105079413405,100.0,3.0,73.02315284959234,74.05937457166128
UGC02455,10,4.03,,,,3,52.63333333333333,61.0,37.375,56.91105550035123,55.96849598370675,0.0,3.0,-11.030281030592278,-4.812511015664689
UGC02487,0,80.38,,,,6,331.0,333.0,355.05882352941177,58.93061595911004,-55.624303233640546,100.0,6.0,83.20548456843692,83.18439446886526
UGC02885,5,74.07,,,,7,297.14285714285717,298.0,285.8421052631579,17.57860609781291,-10.703463840817351,71.42857142857143,7.0,95.08855041110472,96.0101225251786
UGC02916,2,38.0,,,,15,206.6,218.0,208.72093023255815,66.24561063826889,62.222416932529,0.0,15.0,70.32284876235197,68.40430564808526
UGC02953,2,62.39,,,,40,274.55,312.0,273.8608695652174,62.163384829539105,18.16058840762702,47.5,40.0,83.20625048610063,86.42386958391245
UGC03205,2,40.04,,,,17,218.0,221.0,215.125,45.03254891786447,30.251018128615396,17.647058823529413,17.0,81.60219697768115,77.47077527851428
UGC03546,1,29.23,,,,11,196.63636363636363,204.0,212.0,55.61202755038524,47.36580962761313,9.090909090909092,11.0,75.47224733682698,73.62270814197865
UGC03580,1,27.06,,,,16,116.875,131.0,91.70212765957447,22.59167934946841,-3.5949591813476314,50.0,16.0,83.28984678007295,83.73956345782364
UGC04278,7,6.69,,,,9,83.89999999999999,92.8,56.8812,21.44812120704304,-21.086752428793577,100.0,9.0,74.48796972907846,73.2681807107187
UGC04305,10,5.52,,,,8,33.65,35.3,30.085,23.791332068555676,23.70842371956298,0.0,8.0,29.059598397800773,33.288616896027044
UGC04325,9,5.59,,,,3,91.93333333333334,92.7,81.05,11.502627877719616,-11.44061663411972,100.0,3.0,87.55591377689437,87.32671483176058
UGC04483,10,1.21,,,,3,23.8,24.3,18.27625,9.578392119601384,-9.561575919385556,100.0,3.0,59.86095707878648,59.150014482863256
UGC04499,8,8.18,,,,4,72.75,74.3,60.888888888888886,6.507735290852807,-6.398623993019907,100.0,4.0,91.22571834210598,90.92894437652302
UGC05005,10,28.61,,,,4,98.9,100.0,69.67272727272729,29.381624149560476,-29.308566218671903,100.0,4.0,70.38360748597576,69.67663800920775
UGC05253,2,53.29,,,,25,236.88,246.0,241.78082191780823,86.46173534867343,61.47711804109858,16.0,,,
UGC05716,9,12.37,,,,5,73.36999999999999,74.7,64.44166666666668,25.456771393602512,-25.387899523499748,100.0,5.0,65.41805393311881,65.84613886609338
UGC05721,7,6.74,,,,8,78.5375,79.5,70.33478260869565,32.18486969123358,-32.161275421679164,100.0,8.0,59.05552776085379,59.25096552886937
UGC05750,8,22.85,,,,4,74.5,78.9,48.7,9.07077513910906,-8.36155877004826,100.0,4.0,88.9610369422085,88.77734393812258
UGC05764,10,3.62,,,,4,52.5625,55.8,45.769999999999996,19.054983591507433,-18.903785182894943,100.0,4.0,64.16911924747195,64.533590441306
UGC05829,10,6.91,,,,4,63.125,68.6,46.36363636363637,8.347238625927925,-8.214701827308296,100.0,4.0,87.01605199637841,86.43884101899727
UGC05918,10,4.46,,,,3,42.76666666666667,44.5,35.2875,10.757372634023845,-10.749170765991417,100.0,3.0,74.83361862397538,75.53611296064817
UGC05986,9,9.41,,,,6,112.33333333333333,116.0,96.74,23.29530290584453,-22.91975375048324,100.0,6.0,79.49010501754056,77.70506067681876
UGC06399,9,7.85,,,,4,85.05,87.6,68.75555555555556,13.86493310986639,-13.677467514098122,100.0,4.0,83.96354273355286,84.97327281043789
UGC06446,7,10.22,,,,6,82.89999999999999,84.9,72.96470588235293,23.611164523493173,-23.529014318691893,100.0,6.0,71.62849317596394,72.17671219789759
UGC06614,1,64.59,,,,5,201.2,205.0,186.30769230769232,26.76791197468413,-12.2692933973896,80.0,5.0,88.46807032957058,86.12178477942692
UGC06667,6,7.85,,,,4,83.85,85.7,67.86666666666667,36.39803932310601,-36.383906461046834,100.0,4.0,56.57067220639593,56.66721088683068
UGC06786,0,34.05,,,,16,223.6875,229.0,212.37777777777777,39.42337311302067,-15.264396579391082,62.5,16.0,84.62910347276136,85.54550199921403
UGC06787,2,37.19,,,,25,241.92,255.0,239.64788732394365,45.22755960086316,-16.153657756789283,60.0,25.0,83.76736810693443,85.76358731941987
UGC06818,9,6.98,,,,3,71.23333333333333,74.4,51.587500000000006,10.962146912224291,-10.37325598570222,100.0,3.0,85.58688505117561,87.81999867308318
UGC06917,9,10.47,,,,4,107.25,111.0,94.17272727272729,6.952069185287131,-6.456383046414896,100.0,4.0,94.04590080050966,93.81305249533396
UGC06930,7,16.61,,,,4,108.25,109.0,97.56,7.946604741019746,-5.540878611130946,75.0,4.0,94.35662523765907,95.13755057571686
UGC06973,2,7.85,,,,4,177.25,180.0,173.77777777777777,100.65154008647553,99.55842835497675,0.0,,,
UGC06983,6,15.68,,,,6,108.66666666666667,110.0,101.16470588235295,21.464104230346305,-21.26161730945596,100.0,6.0,80.43167611641512,81.10224475982052
UGC07089,8,9.16,,,,5,74.7,79.1,59.791666666666664,5.246642285914167,3.3616372321378067,40.0,5.0,93.99816801330635,93.5830743831461
UGC07125,9,18.68,,,,5,65.3,65.6,56.73846153846154,5.480929047714424,4.322915588597465,20.0,5.0,92.2447590994914,93.15375429565476
UGC07151,6,5.5,,,,4,73.5,76.2,62.30909090909092,5.104987777808316,5.094811077274191,0.0,4.0,93.0639025681426,93.05019786604232
UGC07323,8,5.82,,,,4,80.82499999999999,85.6,60.1,14.803713041258712,14.7258620730552,0.0,4.0,81.70616911193432,81.0886472448939
UGC07399,8,6.13,,,,4,101.475,106.0,88.32000000000001,42.92641864020423,-42.80122830936528,100.0,4.0,57.88140081822076,57.98405359425391
UGC07524,9,10.69,,,,11,79.18181818181819,83.8,62.73870967741935,9.210540573960884,-8.881002740882955,100.0,11.0,88.7205734170101,89.50947569776496
UGC07577,10,1.69,,,,4,15.05,17.8,10.68888888888889,1.0421914985217688,0.7201741667956263,25.0,4.0,94.13104063215007,95.34046409640943
UGC07603,7,4.11,,,,5,62.0,64.0,52.71666666666667,20.612314836526085,-20.371812979799422,100.0,5.0,67.23734129563634,67.14257393266433
UGC07608,10,4.78,,,,3,65.56666666666666,69.3,49.225,26.51139829941348,-26.505495880109674,100.0,3.0,59.51450351589775,59.26341354644671
UGC08286,6,8.04,,,,6,83.3,84.3,72.7764705882353,26.550326798675655,-26.46583136968346,100.0,6.0,68.24580872374483,67.79758410565653
UGC08490,9,10.15,,,,11,78.58181818181819,80.1,75.15666666666667,30.86798788337478,-30.849310162151582,100.0,11.0,60.71938840810401,60.45810229892539
UGC08550,7,5.36,,,,4,56.925,57.8,49.78181818181818,19.42707007357414,-19.38807858730194,100.0,4.0,65.91822609944815,66.00134676596481
UGC08699,2,25.7,,,,14,182.78571428571428,188.0,184.17073170731706,38.4992051174695,21.431572213962504,28.57142857142857,14.0,81.4180154775022,79.79331025623217
UGC08837,10,4.2,,,,3,45.86666666666667,48.0,30.488749999999996,3.27228763050166,3.0915476295340554,0.0,3.0,93.13828746757014,94.97254847032124
UGC09037,6,27.96,,,,8,153.25,160.0,137.92727272727274,35.15356203424023,34.77650039733425,0.0,8.0,77.2968013891433,77.10519941033984
UGC09133,2,108.31,,,,24,234.16666666666666,247.0,264.1764705882353,30.09393483462972,-14.102377207292847,75.0,24.0,88.11296196141318,88.61088434685212
UGC11455,6,41.93,,,,13,275.0769230769231,289.0,228.2444444444444,119.92069345352733,111.20960319917961,0.0,,,
UGC11557,8,10.56,,,,5,81.16,85.0,57.31666666666666,54.60321765737766,54.10640680987876,0.0,5.0,32.95996704672543,31.952504250612343
UGC11820,9,15.82,,,,4,77.95,84.45,51.205000000000005,20.828276209707905,-20.199281567760984,100.0,4.0,74.3938648329538,75.4409871107608
UGC11914,2,9.83,,,,23,286.04347826086956,305.0,279.5230769230769,147.9387766344301,146.52350087092438,0.0,,,
UGC12506,6,49.99,,,,11,234.0,244.0,228.8709677419355,20.71239449931303,-20.524032642925246,100.0,11.0,91.23399953572034,91.17910180049928
UGC12632,9,10.66,,,,6,71.7,73.2,60.186666666666675,13.972354436762695,-13.950781688211285,100.0,6.0,80.52485817637772,80.84816208919858
UGC12732,9,15.4,,,,6,90.3,98.0,75.75,25.590051487609056,-25.57619660952479,100.0,6.0,71.60050891152022,72.44337687121572
UGCA442,9,6.33,,,,3,56.9,57.8,44.7875,24.651734622708947,-24.470240615296124,100.0,3.0,57.00491573151854,56.12957961839038
UGCA444,10,2.62,,,,13,34.769230769230774,38.3,26.235555555555557,11.84632990055139,-11.617243970799604,100.0,13.0,66.81386521555204,68.95168413912671
